Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,4434.20,4561.80,4561.80,4430.00,407295392
05-Jan-2009,4561.80,4579.60,4618.10,4520.80,836675968
06-Jan-2009,4579.60,4638.90,4675.70,4562.00,1037315904
07-Jan-2009,4638.90,4507.50,4638.90,4478.00,1060111232
08-Jan-2009,4507.50,4505.40,4514.70,4410.50,924352384
09-Jan-2009,4505.40,4448.50,4534.80,4431.90,979880000
12-Jan-2009,4448.50,4426.20,4471.30,4402.30,786091328
13-Jan-2009,4426.20,4399.10,4426.20,4321.30,963231616
14-Jan-2009,4399.10,4180.60,4426.50,4115.40,1309107072
15-Jan-2009,4180.60,4121.10,4199.40,4090.90,1247255168
16-Jan-2009,4121.10,4147.10,4251.70,4121.10,1386145280
19-Jan-2009,4147.10,4108.50,4251.90,4032.40,1879364992
20-Jan-2009,4108.50,4091.40,4184.30,4060.60,2079963648
21-Jan-2009,4091.40,4059.90,4112.80,4001.40,2068435584
22-Jan-2009,4059.90,4052.20,4153.90,4046.40,1615353344
23-Jan-2009,4052.20,4052.50,4070.80,3956.70,1510831360
26-Jan-2009,4052.50,4209.00,4225.20,4039.40,1524882688
27-Jan-2009,4209.00,4194.40,4211.00,4130.80,1264648320
28-Jan-2009,4194.40,4295.20,4317.60,4194.40,1742247936
29-Jan-2009,4295.20,4190.10,4295.20,4147.70,1387667072
30-Jan-2009,4190.10,4149.60,4228.00,4125.20,1496062592
02-Feb-2009,4149.60,4077.80,4149.60,4036.90,929235712
03-Feb-2009,4077.80,4164.50,4173.20,4043.40,1085343232
04-Feb-2009,4164.50,4228.60,4262.70,4160.40,1197508864
05-Feb-2009,4228.60,4228.90,4235.30,4133.50,1216488576
06-Feb-2009,4228.90,4291.90,4330.70,4225.60,1412522752
09-Feb-2009,4291.90,4307.60,4334.00,4244.00,1168750720
10-Feb-2009,4307.60,4213.10,4309.50,4210.50,1113424640
11-Feb-2009,4213.10,4234.30,4244.50,4182.10,977770368
12-Feb-2009,4234.30,4202.20,4234.30,4135.10,1326826624
13-Feb-2009,4202.20,4189.60,4291.60,4168.00,1464481664
16-Feb-2009,4189.60,4134.80,4189.60,4127.30,768227200
17-Feb-2009,4134.80,4034.10,4134.80,3995.40,1226667136
18-Feb-2009,4034.10,4006.80,4056.50,3938.10,1276563328
19-Feb-2009,4006.80,4018.40,4045.20,3983.90,1173914496
20-Feb-2009,4018.40,3889.10,4018.40,3877.80,1300935936
23-Feb-2009,3889.10,3850.70,3960.00,3844.90,985111680
24-Feb-2009,3850.70,3816.40,3852.30,3772.40,1082778112
25-Feb-2009,3816.40,3849.00,3884.10,3803.90,1190213504
26-Feb-2009,3849.00,3915.60,3948.20,3849.00,2078205824
27-Feb-2009,3915.60,3830.10,3915.60,3760.70,1662560768
02-Mar-2009,3830.10,3625.80,3830.10,3625.80,1489496448
03-Mar-2009,3625.80,3512.10,3676.90,3497.30,1552463360
04-Mar-2009,3512.10,3645.90,3649.50,3512.10,1282906368
05-Mar-2009,3645.90,3529.90,3645.90,3526.40,1517533824
06-Mar-2009,3529.90,3530.70,3590.20,3492.10,1594393856
09-Mar-2009,3530.70,3542.40,3564.80,3460.70,1568103168
10-Mar-2009,3538.47,3715.23,3726.31,3516.30,1716855808
11-Mar-2009,3701.60,3693.81,3763.24,3652.01,1702913792
12-Mar-2009,3685.37,3712.06,3725.60,3616.50,1491067264
